"randomization_id","assay","time","assay_taste","level","cup_order","taste_position","cup_taste","conc","cup_id"
"R001","rtdt",1,"nacl",1,1,0,"h2o_2",2.7,76608
"R001","rtdt",1,"nacl",1,2,0,"h2o_1",2.7,98225
"R001","rtdt",1,"nacl",1,3,1,"nacl",2.7,68164
"R001","rtdt",1,"nacl",2,1,0,"h2o_1",4.1,60205
"R001","rtdt",1,"nacl",2,2,0,"h2o_2",4.1,15603
"R001","rtdt",1,"nacl",2,3,1,"nacl",4.1,25952
"R001","rtdt",1,"nacl",3,1,0,"h2o_1",5.8,40292
"R001","rtdt",1,"nacl",3,2,0,"h2o_2",5.8,93850
"R001","rtdt",1,"nacl",3,3,1,"nacl",5.8,54705
"R001","rtdt",1,"nacl",4,1,1,"nacl",8.2,73941
"R001","rtdt",1,"nacl",4,2,0,"h2o_1",8.2,76262
"R001","rtdt",1,"nacl",4,3,0,"h2o_2",8.2,47297
"R001","rtdt",1,"nacl",5,1,1,"nacl",11.8,38962
"R001","rtdt",1,"nacl",5,2,0,"h2o_2",11.8,47215
"R001","rtdt",1,"nacl",5,3,0,"h2o_1",11.8,47824
"R001","rtdt",1,"nacl",6,1,0,"h2o_1",16.8,67484
"R001","rtdt",1,"nacl",6,2,1,"nacl",16.8,70324
"R001","rtdt",1,"nacl",6,3,0,"h2o_1",16.8,67484
"R001","rtdt",1,"nacl",7,1,1,"nacl",24,59394
"R001","rtdt",1,"nacl",7,2,0,"h2o_2",24,99883
"R001","rtdt",1,"nacl",7,3,0,"h2o_1",24,60483
"R001","rtdt",1,"nacl",8,1,0,"h2o_1",34.2,45844
"R001","rtdt",1,"nacl",8,2,1,"nacl",34.2,24164
"R001","rtdt",1,"nacl",8,3,0,"h2o_1",34.2,45844
"R001","rtdt",1,"nacl",9,1,0,"h2o_2",68.4,34409
"R001","rtdt",1,"nacl",9,2,0,"h2o_1",68.4,76688
"R001","rtdt",1,"nacl",9,3,1,"nacl",68.4,46351
"R001","rtdt",1,"nacl",10,1,0,"h2o_1",137,29446
"R001","rtdt",1,"nacl",10,2,1,"nacl",137,93354
"R001","rtdt",1,"nacl",10,3,0,"h2o_1",137,29446
"R001","rtdt",1,"sucr",1,1,0,"h2o_2",1,92450
"R001","rtdt",1,"sucr",1,2,0,"h2o_1",1,98273
"R001","rtdt",1,"sucr",1,3,1,"sucr",1,68164
"R001","rtdt",1,"sucr",2,1,0,"h2o_1",1.6,55299
"R001","rtdt",1,"sucr",2,2,0,"h2o_2",1.6,87258
"R001","rtdt",1,"sucr",2,3,1,"sucr",1.6,25952
"R001","rtdt",1,"sucr",3,1,1,"sucr",2.7,54705
"R001","rtdt",1,"sucr",3,2,0,"h2o_2",2.7,90694
"R001","rtdt",1,"sucr",3,3,0,"h2o_1",2.7,10896
"R001","rtdt",1,"sucr",4,1,0,"h2o_1",4.5,55421
"R001","rtdt",1,"sucr",4,2,1,"sucr",4.5,73941
"R001","rtdt",1,"sucr",4,3,0,"h2o_1",4.5,55421
"R001","rtdt",1,"sucr",5,1,0,"h2o_1",7.5,80425
"R001","rtdt",1,"sucr",5,2,0,"h2o_2",7.5,30491
"R001","rtdt",1,"sucr",5,3,1,"sucr",7.5,38962
"R001","rtdt",1,"sucr",6,1,0,"h2o_2",12.6,33806
"R001","rtdt",1,"sucr",6,2,0,"h2o_1",12.6,23812
"R001","rtdt",1,"sucr",6,3,1,"sucr",12.6,70324
"R001","rtdt",1,"sucr",7,1,0,"h2o_2",21,32235
"R001","rtdt",1,"sucr",7,2,1,"sucr",21,59394
"R001","rtdt",1,"sucr",7,3,0,"h2o_2",21,32235
