record_id,redcap_event_name,food_liking_questionnaire_timestamp,date_flq,gender_flq,diet_flq,p1_q1,p1_q2,p1_q3,p1_q4,p1_q5,p1_q6,p1_q7,p1_q8,p1_q9,p1_q10,p1_q11,p1_q12,p1_q13,p1_q14,p1_q15,p1_q16,p1_q17,p1_q18,p1_q19,p1_q20,p1_q22,p1_q21,p1_q23,p1_q24,p1_q25,p1_q26,p1_q27,p1_q28,p1_q29,p1_q30,p1_q31,p1_q32,p1_q33,p1_q34,p1_q35,p1_q36,p1_q37,p1_q38,p1_q39,p1_q40,p1_q41,p2_example,p2_q1a,p2_q2a,p2_q3a,p2_q4a,p2_q5a,p2_q6a,p2_q7a,p2_q8a,p2_q9a,p2_q10a,p2_q11a,p2_q12a,p2_q13a,p2_q14a,p2_q15a,p2_q16a,p2_q17a,p2_q18a,p2_q19a,p3_q1___0,p3_q1___1,p3_q1___2,p3_q1___3,p3_q1___4,p3_q1___5,p3_q1___6,p4_q1,p4_q2,p4_q3,p4_q5,p4_q6,p4_q7,p4_q9,p4_q10,p4_q11,p4_q12,p4_q13,p4_q14,p4_q15,p4_q16,p4_q17,p4_q18,p4_q19,p4_q20,p4_q21,p4_q22,p4_q23,p4_q24,food_liking_questionnaire_complete
5,posttreatment_arm_1,,2017-09-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
8,posttreatment_arm_1,"2018-02-15 09:49:41",2017-10-14,1,2,7,7,7,6,4,7,6,7,3,3,7,7,5,5,5,5,6,6,3,7,7,7,5,6,6,6,5,6,5,6,5,6,5,6,5,5,5,6,7,5,5,0,6,3,3,0,2,3,0,3,6,3,3,0,0,2,3,5,5,2,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,2,2,0,2,0,2,3,3,5,0,3,0,2,2,2
9,posttreatment_arm_1,,2018-02-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
10,posttreatment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
11,posttreatment_arm_1,"2018-05-04 11:35:31",2017-12-29,1,2,8,8,8,1,1,1,1,1,1,1,6,5,3,6,1,7,1,1,1,1,8,7,2,7,7,7,7,6,7,8,6,9,7,8,7,6,6,8,8,8,1,6,6,0,6,0,0,1,6,6,6,0,2,4,3,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,1,5,0,0,1,0,0,0,2
12,posttreatment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
13,posttreatment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
14,posttreatment_arm_1,"2018-05-26 07:57:08",2018-01-21,1,2,2,3,2,2,3,1,2,3,2,2,3,6,3,3,1,3,1,6,1,1,6,7,6,3,7,7,7,6,7,4,5,7,7,6,6,6,4,7,4,7,7,0,6,0,2,0,0,1,0,6,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,2
16,posttreatment_arm_1,"2018-07-02 07:32:30",2018-03-02,0,2,6,4,4,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,6,8,7,6,6,6,8,7,6,8,6,6,5,6,6,6,6,6,6,6,7,6,6,0,6,0,2,2,6,6,6,6,1,4,1,1,2,2,0,0,0,1,0,0,0,1,1,0,0,0,2,0,2,0,0,1,1,2,0,1,0,0,1,5,1,0,1,1,1,5,2
17,posttreatment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
18,posttreatment_arm_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,0
